sp	code	handling	frug.degree	BodyMass.Value	Diet.Fruit.Wilman
Agelaioides_badius	agebad	pulp.consumer	0.37	45.25	0
Basileuterus_culicivorus	bascul	gulper	0.01	10.5	20
Cacicus_solitarius	cacsol	pulp.consumer	0.39	79.76	0
Chlorostilbon_lucidus	chlluc	pulp.consumer	0.01	3.50	0
Coryphospingus_cucullatus	corcuc	pulp.consumer	0.37	13.7	50
Cyanoloxia_brissoni	cyabri	pulp.consumer	0.7	27.50	70
Cyanocorax_chrysops	cyachr	gulper	0.04	166.00	20
Cyclarhis_gujanensis	cycguj	gulper	0.1	28.80	0
Elaenia_parvirostris	elapar	gulper	0.93	13.80	30
Euphonia_chlorotica	eupchl	pulp.consumer	1	11.00	100
Furnarius_rufus	furruf	no.frug	0.01	46.42	0
Griseotyrannus_aurantioatrocristatus	griaur	gulper	0.01	33.00	20
Hylocharis_chrysura	hylchr	pulp.consumer	0.01	4.50	0
Icterus_pyrrhopterus	ictpyr	pulp.consumer	0.18	35.44	0
Mimus_saturninus	mimsat	gulper	0.67	63.70	0
Mimus_triurus	mimtri	gulper	0.7	47.20	0
Molothrus_rufoaxillaris	molruf	pulp.consumer	0.14	47.50	10
Myiophobus_fasciatus	myifas	gulper	0.2	9.90	20
Myiodynastes_maculatus	myimac	gulper	0.3	43.20	30
Myiopsitta_monachus	myimon	seed.predator	0.32	120.00	30
Pachyramphus_polychopterus	pacpol	gulper	0.33	20.80	50
Paroaria_coronata	parcor	pulp.consumer	0.2	38.53	20
Parula_pitiayumi	parpit	pulp.consumer	0.2	6.82	20
Passer_domesticus	pasdom	pulp.consumer	0.1	26.51	0
Patagioenas_maculosa	patmac	seed.predator	0.1	347.00	10
Patagioenas_picazuro	patpic	seed.predator	0.3	279.00	30
Pipraeidea_bonariensis	pipbon	pulp.consumer	0.8	36.00	80
Pitangus_sulphuratus	pitsul	gulper	0.45	62.85	30
Poospiza_erythrophrys	pooery	pulp.consumer	0.2	14.1	20
Poospiza_melanoleuca	poomel	pulp.consumer	0.2	40	20
Ramphastos_toco	ramtoc	gulper	0.7	617.99	70
Saltator_aurantiirostris	salaur	pulp.consumer	0.87	42.30	30
Saltator_coerulescens	salcoe	pulp.consumer	0.72	54.9	0
Saltator_similis	salsim	pulp.consumer	0.5	43.30	30
Satrapa_icterophrys	satict	gulper	0.49	21.5	0
Sturnus_vulgaris	stuvul	gulper	0.26	77.14	30
Thectocercus_acuticaudatus	theacu	seed.predator	0.5	171	50
Thraupis_sayaca	thrsay	pulp.consumer	1	32.49	50
Turdus_amaurochalinus	turama	gulper	0.56	57.90	60
Turdus_chiguanco	turchi	gulper	0.5	69.44	50
Turdus_rufiventris	turruf	gulper	0.665	93.29	50
Tyrannus_melancholicus	tyrmel	gulper	0.06	37.40	0
Tyrannus_savana	tyrsav	gulper	0.18	31.9	30
Zonotrichia_capensis	zoncap	pulp.consumer	0.12	20.31	0
